rank,date,ticker,name,isin,market,previous_open,previous_close,previous_high,previous_low,body,body_pct,last_volume,avg_volume_20d,relative_volume,return_5d,return_10d,return_20d,atr_14,atr_pct,close_position,distance_to_20d_high_pct,gap_pct,score,classification,notes
6,2026-05-15,UBER,Uber,US90353T1007,USA,74.31,75.09,75.56,73.63,0.78,1.05,16234200,17027325.0,0.95,-0.48,0.0,-2.63,2.63,3.51,0.75,7.64,-0.12,33.0,Descartar,cuerpo alcista reducido. volumen relativo debil.
7,2026-05-15,META,Meta Platforms,US30303M1027,USA,613.99,614.23,621.2,609.31,0.24,0.0,13208700,15844755.0,0.83,0.75,0.9,-10.79,17.27,2.81,0.41,11.26,-0.62,32.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario.
8,2026-05-15,PLTR,Palantir,US69608A1088,USA,132.8,133.99,135.64,132.29,1.19,0.9,32344600,44349015.0,0.73,-2.76,-7.0,-8.47,5.72,4.27,0.51,13.95,-0.69,30.0,Descartar,cuerpo alcista reducido. volumen relativo debil.
1,2026-05-13,GOOGL,Alphabet,US02079K3059,USA,385.37,400.75,401.0,385.01,15.38,3.99,13515921,27257072.45,0.5,0.86,14.72,19.08,11.3,2.82,0.98,0.31,0.17,64.0,Media prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
2,2026-05-13,TSLA,Tesla,US88160R1014,USA,436.68,449.26,453.4,430.21,12.58,2.88,44132235,61528185.55,0.72,12.61,20.44,14.56,17.05,3.8,0.82,0.92,-0.06,61.0,Media prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
3,2026-05-13,AAPL,Apple,US0378331005,USA,293.63,299.21,299.42,293.56,5.58,1.9,22176570,47618958.35,0.47,4.15,10.84,12.39,6.42,2.14,0.97,0.08,0.08,59.0,Baja prioridad,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
4,2026-05-13,NVDA,Nvidia,US67066G1040,USA,224.93,226.98,227.84,221.57,2.04,0.91,91874298,147278469.7,0.62,9.19,8.45,14.11,8.11,3.57,0.86,0.38,0.0,56.0,Baja prioridad,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
5,2026-05-13,AMZN,Amazon,US0231351067,USA,264.45,270.14,270.17,263.2,5.7,2.15,17689849,45773687.5,0.39,-1.79,2.67,8.67,7.36,2.73,1.0,3.11,0.0,50.0,Baja prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
6,2026-05-13,META,Meta Platforms,US30303M1027,USA,598.81,614.57,614.68,596.66,15.76,2.63,7163526,15581082.55,0.46,0.48,-7.96,-8.3,18.28,2.97,0.99,12.52,0.21,49.0,Baja prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
7,2026-05-13,NFLX,Netflix,US64110L1061,USA,86.48,87.82,87.82,86.28,1.34,1.54,13408230,43205323.1,0.31,-0.45,-4.61,-18.42,2.19,2.49,0.99,24.07,0.06,39.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
8,2026-05-13,MSFT,Microsoft,US5949181045,USA,402.97,405.61,406.31,401.03,2.64,0.65,12489751,34300609.1,0.36,-1.96,-4.38,-1.31,10.66,2.63,0.87,6.93,0.06,39.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
