rank,date,ticker,name,isin,market,previous_open,previous_close,previous_high,previous_low,body,body_pct,last_volume,avg_volume_20d,relative_volume,return_5d,return_10d,return_20d,atr_14,atr_pct,close_position,distance_to_20d_high_pct,gap_pct,score,classification,notes
8,2026-05-18,AMZN,Amazon,US0231351067,USA,263.86,265.04,268.85,262.53,1.18,0.45,20919250,44842994.35,0.47,-1.48,-2.59,6.74,7.32,2.76,0.4,5.1,N/A,26.67,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
8,2026-05-18,SHOP,Shopify,CA82509L1076,USA,99.12,102.4,102.57,98.7,3.28,3.31,4748514,13088143.5,0.36,-0.19,-19.76,-24.26,6.24,6.09,0.96,34.08,N/A,42.22,Descartar,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
9,2026-05-18,AIR.PA,Airbus,NL0000235190,France,165.5,170.38,172.14,164.74,4.88,2.95,1305197,1429757.2,0.91,-2.91,-3.29,-5.07,6.15,3.61,0.76,12.64,N/A,38.89,Descartar,buen cuerpo alcista. volumen relativo debil. gap no disponible.
10,2026-05-18,ADYEN.AS,Adyen,NL0012969182,Netherlands,880.0,909.3,919.0,875.6,29.3,3.33,86461,129632.6,0.67,-1.27,-6.33,-7.68,35.41,3.89,0.78,11.93,N/A,27.78,Descartar,buen cuerpo alcista. volumen relativo debil. gap no disponible.
1,2026-05-15,AAPL,Apple,US0378331005,USA,297.9,300.23,303.2,296.52,2.33,0.78,54721100,48393105.0,1.13,2.36,7.17,11.1,6.67,2.22,0.56,0.99,-0.13,51.0,Baja prioridad,cuerpo alcista reducido.
2,2026-05-15,MSFT,Microsoft,US5949181045,USA,414.27,421.92,428.17,412.91,7.65,1.85,50310800,34516840.0,1.46,1.64,1.8,-0.21,11.41,2.7,0.59,2.79,-0.53,44.0,Descartar,cuerpo alcista reducido.
3,2026-05-15,SHOP,Shopify,CA82509L1076,USA,97.5,100.28,101.45,96.0,2.78,2.85,15842200,13135385.0,1.21,-9.17,-21.45,-23.54,6.34,6.32,0.79,36.92,-0.29,43.0,Descartar,buen cuerpo alcista.
4,2026-05-15,GOOGL,Alphabet,US02079K3059,USA,396.32,396.78,399.54,393.18,0.46,0.12,20205600,27741950.0,0.73,-1.0,2.88,16.13,11.07,2.79,0.57,1.74,-0.38,41.0,Descartar,cuerpo alcista reducido. volumen relativo debil.
5,2026-05-15,AMZN,Amazon,US0231351067,USA,262.5,264.14,264.36,260.89,1.64,0.62,40672200,45770140.0,0.89,-3.13,-1.54,5.42,7.19,2.72,0.94,5.46,-0.59,37.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
6,2026-05-15,UBER,Uber,US90353T1007,USA,74.31,75.09,75.56,73.63,0.78,1.05,16234200,17027325.0,0.95,-0.48,0.0,-2.63,2.63,3.51,0.75,7.64,-0.12,33.0,Descartar,cuerpo alcista reducido. volumen relativo debil.
7,2026-05-15,META,Meta Platforms,US30303M1027,USA,613.99,614.23,621.2,609.31,0.24,0.0,13208700,15844755.0,0.83,0.75,0.9,-10.79,17.27,2.81,0.41,11.26,-0.62,32.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario.
8,2026-05-15,PLTR,Palantir,US69608A1088,USA,132.8,133.99,135.64,132.29,1.19,0.9,32344600,44349015.0,0.73,-2.76,-7.0,-8.47,5.72,4.27,0.51,13.95,-0.69,30.0,Descartar,cuerpo alcista reducido. volumen relativo debil.
1,2026-05-13,GOOGL,Alphabet,US02079K3059,USA,385.37,400.75,401.0,385.01,15.38,3.99,13515921,27257072.45,0.5,0.86,14.72,19.08,11.3,2.82,0.98,0.31,0.17,64.0,Media prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
2,2026-05-13,TSLA,Tesla,US88160R1014,USA,436.68,449.26,453.4,430.21,12.58,2.88,44132235,61528185.55,0.72,12.61,20.44,14.56,17.05,3.8,0.82,0.92,-0.06,61.0,Media prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
3,2026-05-13,AAPL,Apple,US0378331005,USA,293.63,299.21,299.42,293.56,5.58,1.9,22176570,47618958.35,0.47,4.15,10.84,12.39,6.42,2.14,0.97,0.08,0.08,59.0,Baja prioridad,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
4,2026-05-13,NVDA,Nvidia,US67066G1040,USA,224.93,226.98,227.84,221.57,2.04,0.91,91874298,147278469.7,0.62,9.19,8.45,14.11,8.11,3.57,0.86,0.38,0.0,56.0,Baja prioridad,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
5,2026-05-13,AMZN,Amazon,US0231351067,USA,264.45,270.14,270.17,263.2,5.7,2.15,17689849,45773687.5,0.39,-1.79,2.67,8.67,7.36,2.73,1.0,3.11,0.0,50.0,Baja prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
6,2026-05-13,META,Meta Platforms,US30303M1027,USA,598.81,614.57,614.68,596.66,15.76,2.63,7163526,15581082.55,0.46,0.48,-7.96,-8.3,18.28,2.97,0.99,12.52,0.21,49.0,Baja prioridad,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
7,2026-05-13,NFLX,Netflix,US64110L1061,USA,86.48,87.82,87.82,86.28,1.34,1.54,13408230,43205323.1,0.31,-0.45,-4.61,-18.42,2.19,2.49,0.99,24.07,0.06,39.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
8,2026-05-13,MSFT,Microsoft,US5949181045,USA,402.97,405.61,406.31,401.03,2.64,0.65,12489751,34300609.1,0.36,-1.96,-4.38,-1.31,10.66,2.63,0.87,6.93,0.06,39.0,Descartar,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
